"Relative Time","Hits"
"00:00","0"
"00:08","0.5"
"00:16","0.5"
"00:24","0"
"00:32","0.5"
"00:40","0"
"00:48","0"
"00:56","0.25"
"01:04","0.5"
"01:12","0.25"
"01:20","0.5"
"01:28","0.75"
"01:36","0"
"01:44","0"
"01:52","0"
"02:00","0.5"
"02:08","0.25"
"02:16","0.25"
"02:24","0.25"
"02:32","0.25"
"02:40","0"
"02:48","0"
"02:56","0.625"
"03:04","0.125"
"03:12","0.75"
"03:20","0"
"03:28","1"
"03:36","0.375"
"03:44","0.25"
"03:52","0.375"
"04:00","0.25"
"04:08","0.375"
"04:16","0"
"04:24","0"
"04:32","0"
"04:40","0.125"
"04:48","0.375"
"04:56","0.5"
"05:04","0"
"05:12","1.5"
"05:20","0"
"05:28","0.5"
"05:36","0"
"05:44","4"
