"Relative Time","Hits"
"00:00","0.5"
"00:08","0"
"00:16","0.5"
"00:24","0"
"00:32","0.5"
"00:40","0"
"00:48","0.5"
"00:56","0.625"
"01:04","0.5"
"01:12","0.625"
"01:20","0"
"01:28","0.625"
"01:36","0"
"01:44","0.625"
"01:52","0.625"
"02:00","0.625"
"02:08","0.625"
"02:16","0"
"02:24","0"
"02:32","0.625"
"02:40","0.625"
"02:48","0"
"02:56","1.25"
"03:04","0"
"03:12","0.625"
"03:20","0"
"03:28","0"
"03:36","0.625"
"03:44","0.625"
"03:52","1.25"
"04:00","0"
"04:08","0.625"
"04:16","0"
"04:24","0"
"04:32","0.625"
"04:40","0"
"04:48","0"
"04:56","0.625"
"05:04","0"
"05:12","0"
"05:20","0"
"05:28","0"
"05:36","0"
"05:44","0"
"05:52","0.833"
