"Relative Time","Throughput"
"00:00","2382.5"
"00:08","0"
"00:16","2382.5"
"00:24","0"
"00:32","2385"
"00:40","0"
"00:48","2384.5"
"00:56","0"
"01:04","3527.375"
"01:12","1147.875"
"01:20","0"
"01:28","0"
"01:36","1143.875"
"01:44","1143.375"
"01:52","0"
"02:00","3997.375"
"02:08","0"
"02:16","2856.5"
"02:24","0"
"02:32","2854"
"02:40","0"
"02:48","2854"
"02:56","5715.5"
"03:04","0"
"03:12","2856.5"
"03:20","0"
"03:28","0"
"03:36","2856"
"03:44","0"
"03:52","5712.5"
"04:00","2858"
"04:08","2856.5"
"04:16","0"
"04:24","0"
"04:32","2854"
"04:40","0"
"04:48","0"
"04:56","2855"
"05:04","0"
"05:12","0"
"05:20","0"
"05:28","0"
"05:36","0"
"05:44","0"
"05:52","3808.667"
